name,height,level,feature,route_distance,prefecture
苗場山,2145,中級,"日本百名山の苗場山は、新潟県湯沢町と津南町、長野県栄村の境にあり、2,000mを超える山頂部は、広大な高層湿原となっている。湿原にはたくさんの池塘が点在し、7月中旬頃からは数々の高山植物が咲き誇る。展望にも優れ、まさしく雲上の楽園の様相を呈する。また、9月下旬以降の湿原の草紅葉も一見の価値がある。その山頂へは新潟県側、長野県側からいくつものコースがあるが、越後湯沢駅や湯沢ICからアクセスしやすい和田小屋から（手前に駐車場あり）山頂を目指す祓川コースの利用者が多い。日帰りも可能だが、この山の魅力を存分に味わうには、山頂にある山小屋の苗場山自然体験交流センターに一泊することをおすすめする。",8.8,"新潟,長野,東北"
妙高山,2454,中級,"妙高山（標高2,454m）は、新潟県妙高市に位置する妙高火山群の主峰。古名を「越の中山」といい、中山を「名香山」と書き、これを音読して「みょうこうさん」と唱えたのが山名の由来とされる。新潟県を代表する山のひとつで、「越後富士」の異名もある。近年はスカイケーブルを利用した往復コースが人気で、山頂駅からゲレンデ内を登り、樹林帯、ブナ原生林、南地獄谷、天狗堂を経て山頂へ。ただし往復7時間かかるので、朝いちばんのケーブルを利用すること。燕温泉コースは、登山口近くに無料の露天風呂（河原の湯、黄金の湯）がある。日程に余裕があれば、西隣の日本百名山・火打山とセットで登る1泊2日のプランもおすすめ。",9.9,"新潟,東北"
火打山,2462,中級,"新潟県妙高市と糸魚川市にまたがる火打山は（標高2,462m）は、近接する妙高山と焼山とともに頸城三山のひとつ。東西に緩やかな稜線をもち、山頂付近の傾斜が急ではないため冬期には雪がべったりと積もり、純白の姿になる。深田久弥も『日本百名山』で「一点の黒もなく真白になる山」と絶賛している。多くの高山植物を見ることができ、なかでも高谷池や天狗ノ庭周辺に咲くハクサンコザクラの大群落は圧巻。山頂からの展望もよく、晴れた日には後立山連峰、北アルプス、南アルプス、富士山まで見渡せる。登山道は南面の笹ヶ峰からの往復が一般的だが、妙高山とセットで登るプランも楽しい。その場合は高谷池ヒュッテか黒沢池ヒュッテに1泊する。",16.1,"新潟,東北"
日光白根山,2578,中級,栃木県と群馬県にまたがる火山で、深田久彌の日本百名山にも選ばれている。山麓には湖沼も多く、たくさんの花を見ることができる。観光で日光に訪れると前衛の山々に隠れ目立たないが、周囲の山から眺める日光白根山はひときわ高く、重厚感がある。,6.1,"栃木,群馬,関東"
武尊山,2158,中級,群馬県の北部にあり、谷川岳と日光白根山を線でつなげたその中間点にそびえる。穂高岳に読みが似ているため上州武尊山と呼ばれることも多い。すばらしい展望を持ち、初夏～夏は花々に彩られる魅力的な山でありながら、百名山のなかでは知名度が低めで、国内の標高2000ｍ以上の山としては唯一、自然公園に指定されていない山でもある（林野庁の自然休養林には指定）。一見、なだらかな山容をもつが、山上部は鋭い姿の峰が並ぶうえに深い谷が数多く切れ込み、そのせいか、県内ではツキノワグマの生息密度が高い山でもあるそうだ。ヒマラヤで活躍した地元（沼田市）出身の登山家、山田昇氏を顕彰した“上州武尊山スカイビュートレイル140（山田昇メモリアルカップ）”の舞台ともなっている。,8.3,"群馬,関東"
赤城山,1828,初級,群馬県東部に位置し、谷川岳などとともに上州を代表する山のひとつ。オートキャンプ場でのキャンプや自転車でのヒルクライム、南面の温泉など、登山だけではなく様々なアクティビティで親しまれる山である。赤城山の名は山域を指し、最高峰は黒檜山（1828ｍ）。同じ群馬の妙義山、榛名山とともに上毛三山に数えられる（上毛は上野国の別称）。ツツジの多い山として知られ、４月下旬のアカヤシオに始まってトウゴクミツバツツジ、ヤマツツジ、シロヤシオ、ムラサキヤシオ、レンゲツツジと、６月下旬頃までさまざまなツツジが咲き続ける。山麓にはワカサギ釣りができる大沼（おの）があり、遊歩道が整備された覚満淵は湿性植物の宝庫だ。覚満淵の西側には赤城公園ビジターセンターが立ち、赤城山の植生や地形などを学ぶことができる。バスは土曜･休日以外は途中乗り換えとなるが、乗り換え場所が市営温泉というのも下山時にはうれしい。,4.9,"群馬,関東"
四阿山,2354,中級,長野県と群馬県の県境に位置し、群馬県側では吾妻山・吾嬬山（あづまやま、または、あがつまやま）ともよばれる。どこから見てもなだらかな山容で、その姿が屋根のように見えることから四阿山の名が付いたといわれる。古い火山で（現在は活火山ではない）、北側の谷にある日本の滝百選の米子大瀑布（よなこだいばくふ）はその名残でもある。山頂へのメインコースは、西麓の菅平高原がスタート地点。菅平牧場（有料）を抜けて、四阿山やその隣にそびえる根子岳をめざす。この根子岳と四阿山の鞍部には大スキマと呼ばれる広い草原があり、ヨーロッパアルプスを思わせる眺めが展開する。群馬県側のパルコールつまごいスキー場のゴンドラ山頂駅からは山頂まで約２時間の最短コースが延びる。,9.5,"群馬,長野,関東,中部,甲信越"
筑波山,877,初級,日本百名山のなかでは最も低い山として知られる茨城県の名山。男体山と女体山からなる双耳峰で、山頂には筑波山神社の本殿がある。アクセスが良く温泉もあり、ケーブルカーとロープウェイも運行され、山麓・山頂付近は観光客が多く訪れる。しかし一歩山中に入れば、ブナやミズナラ、大杉の森が広がる登山者の世界となるのがこの山の魅力の一つ。最高峰の女体山からは、空気の澄んだ日なら太平洋や富士山まで見渡すことができる。ケーブルカーに沿ってスギの大木が連なる表参道（御幸ヶ原コース）を登り、男体山と自然研究路（一部、迂回路あり）をめぐったのちに、女体山から奇岩の連なるおつた石コースをつつじヶ丘へと下るのが王道のコース。女体山からの下りは滑りやすい岩場の道となるので足元には注意しよう。１年を通して登れるが、紅葉期の休日は尋常でない込み方なので避けたほうが無難だろう。,5.4,"茨城,関東"
雲取山,2017,初級,"日本百名山の雲取山は、埼玉県秩父市・東京都奥多摩町・山梨県丹波山村にまたがる山で、標高2,017mは東京都の最高峰となっている。通年登れるが、5月中旬～6月上旬の新緑と、10月下旬～11月上旬の紅葉のころがベスト。奥多摩の山々や富士山を望む山頂へのコースは複数あるが、JR奥多摩駅からのバス便がある鴨沢バス停から石尾根経由のコースが一般的。危険箇所こそ少ないコースだが、標高差1500m近くを登りきるだけの体力が求められる。他には埼玉県側の三峯神社起点のコース、山梨県側のお祭バス停から一軒宿の三条の湯を経由するコースもよく歩かれる。山中の有人小屋は七ツ石小屋（素泊まり）や雲取山荘、三条の湯の3軒で、いずれもテント泊可。",19.7,"埼玉,東京都,山梨,中部,甲信越,関東,奥秩父"
金峰山,2599,中級,"金峰山（標高2,599m）は、山梨県甲府市と長野県川上村の境界に位置し、西隣の瑞牆山とともに奥秩父西端を代表する山の一つ。標高では東に相対する北奥千丈岳（標高2,601m）が奥秩父の最高峰となるが、金峰山はその威風堂々とした山容から、奥秩父の盟主的な存在として、古くから登山者を迎えている。山頂へもっとも登りやすいのは、東面の大弛峠から。大弛峠は標高が2,360mあるため、標高差250m弱で山頂に立てる。大弛峠へは実質マイカーのみのアクセスだったが、近年JR塩山駅からバスと乗合タクシーが運行され、便利になった。その他に、北面の廻り目平やJR韮崎駅からのバス便がある西面の瑞牆山荘などからのコースもよく歩かれる。",8,"山梨,長野,中部,甲信越,奥秩父"
瑞牆山,2230,中級,"瑞牆山（標高2,230m）は山梨県北杜市にある日本百名山。奥秩父山塊の主脈の一つで、その西端に位置する。 針葉樹林に包まれた深い山並みを形成する奥秩父にあって、瑞牆山は花崗岩の岩峰が林立する、特異な景観を見せている。一見すると「どこを登るのだろう」と思ってしまうが、岩塔の根元を縫うように登山道がつけられており、危険箇所も意外と少ない。石舞台のような巨大な岩盤からなる山頂からは、すばらしい景観が広がっている。バス便がある瑞牆山荘から富士見平経由での往復登山者が中心だが、近年は西麓のみずがきの森公園を起点とする周回コースを歩く人も増えている（一部荒れた箇所あり）。登山適期は5月から11月にかけて。",5.5,"山梨,中部,甲信越,奥秩父"
大菩薩嶺,2057,初級,山梨県の甲州市と丹波山村の境界に稜線を延ばす大菩薩連嶺の最高峰。路線バスが走る上日川峠を起点にすれば初級者でも無理なく周回できるため、初めての日本百名山として人気が高い。深田久弥の『日本百名山』では最高点を大菩薩岳として紹介しているが、現在は大菩薩嶺と呼ぶのが一般的だ。この山頂はコメツガ林に覆われて展望が開けないものの、大菩薩嶺と大菩薩峠を結ぶ草原状の稜線は花の多いのびやかな道が続き、富士山を眺めながらの山歩きが楽しい。明治～昭和の小説家、中里介山の未完の大作『大菩薩峠』は、山小屋・介山荘の立つ大菩薩峠でのある事件から始まる時代小説で、峠西側の勝縁荘（建物のみ残る）は中里介山や深田久弥にゆかりのある山荘だ。,7.2,"山梨,中部,甲信越"
富士山,3776,上級,言わずと知れた日本最高峰。７月の山開きから９月上旬の閉山まで国内外から30万人近い登山者が押し寄せ、いまや夏の風物詩となっている。オーバーユースが懸念されることから、自然保護と安全対策をおもな目的とした富士山保全協力金徴収（任意）の本格的導入が2014年にスタートした。登山コースは４本で、短い順に富士宮口ルート（静岡側）、吉田口ルート（山梨側）、砂走りルート、御殿場ルート（いずれも静岡側）となる。吉田口と富士宮口の人気が高く混雑は必至だ。夏でも朝の山頂付近は冬の気温となるので、防寒・防風着には気を配りたい。高山病対策も不可欠。寝不足は避け、ゆっくり登って水分をたっぷりと。それでも頭痛やめまいが激しければ登山はあきらめ、500ｍ以上高度を下げるといい。なお、弾丸登山（夕方にスタートする日帰り登山）は避けたいところだ。海外からも多くの登山客が訪れる。単独峰であり、日本の他の山とは比べ物にならないほど美しい景色が広がる。,15.1,"静岡,山梨,中部,甲信越"
白馬岳,2932,上級,"長野、富山、新潟の３県にまたがる白馬岳（標高2,932m）は、北アルプス・後立山連峰を代表する高峰のひとつ。主要な登山道は、猿倉から白馬大雪渓経由のコースと、栂池パノラマウェイを利用して白馬大池経由で山頂を目指す2本。前者は大雪渓での落石や転倒などの危険が潜むが、雄大な光景とコース途中に現れるお花畑は多くの登山者を魅了する。後者は危険な岩場がほとんどなく、北アルプス初心者でも安心なルートだ。また、7月中旬〜8月上旬には白馬大池の水辺にチングルマやハクサンコザクラなど高山植物の競演が楽しめる。山頂には新田次郎の小説『強力伝』の題材にもなった展望盤があり、杓子岳や鑓ヶ岳など山々の大パノラマを眺望できる。",14.9,"富山,長野,中部,甲信越,北アルプス"
五竜岳,2814,上級,長野県と富山県の県境に位置しながら、後立山連峰の山としては珍しく最高点が県境から大きくずれている。春には、山頂近くの岩場が菱紋のひとつである武田菱の形を成すことでも知られる。後立山連峰では屈指の巨体を誇り、山麓からの唯一の登山コースである遠見尾根では体力勝負を強いられるが、通過困難箇所は少なく、尾根から眺める五竜岳東面の岩場帯や鹿島槍ヶ岳北峰北壁の雄姿は感動的だ。一方で、五竜岳から白馬岳や鹿島槍ヶ岳に縦走する場合は、白馬岳への北上では不帰ノ嶮、鹿島槍ヶ岳への南下では八峰キレットという難所を越えなくてはならない。いずれも日本三大キレットのひとつであり（あとは北穂高岳の大キレット）、そうやすやすとは通過させてくれない。,15,"富山,長野,中部,甲信越,北アルプス"
鹿島槍ヶ岳,2889,中級,長野県と富山県にまたがってそびえ、白馬岳とともに後立山連峰の主峰の一座。南峰と北峰をつなぐ吊り尾根はこの山のシンボルでもあり、奥穂高岳～前穂高岳間の吊り尾根と同様に美しい姿を見せる。どこから登っても日帰りは難しく、南側からは爺ヶ岳、北側からは五竜岳を経由する１泊以上の登山となる。爺ヶ岳からはこれといった難所はないが、五竜岳からの場合は、槍･穂高連峰の大キレット、唐松岳の不帰ノ嶮とともに日本三大キレットのひとつである八峰キレットを通過しなければならない。剱岳の別山尾根などと同レベルの登山となるので、細心の注意を払って行動したい。なおこの山では、北峰の北壁に突き上げるカクネ里雪渓が日本では数少ない氷河として知られている。,22.6,"富山,長野,中部,甲信越,北陸,北アルプス"
立山,3015,中級,"日本百名山の立山は、北アルプス北部に位置する富山県が誇る名山で、主峰の雄山（標高3,003 m）、最高点の大汝山（3,015 m）、富士ノ折立（2,999 m）の3峰からなる連峰の総称である。富士山、白山とともに日本三霊山のひとつに数えられ、古くから山岳信仰の山として栄えてきた。標高2,425mの室堂から雄山山頂をめざすメインコースは難所が少なく、初心者でも歩きやすいので、ファミリー層も多い。山頂からは眼前にそびえる大汝山をはじめ、剱岳、薬師岳、後立山連峰など360度の展望が広がる。より歩きたい人は、室堂を起点に浄土山（2,831m）、立山、別山（2,880m）のいわゆる立山三山をめぐる周回コースを取るといいだろう。",8,"富山,中部,北陸"
槍ヶ岳,3180,上級,槍ヶ岳は長野県と岐阜県の境界にある、日本で5番目に高い山。日本百名山の1つ。北アルプスで（というより日本で）穂高岳と人気を二分する鋭峰。周囲の山々からもそれとわかるシンボリックな姿をもち、燕岳からの表銀座コース、烏帽子岳からの裏銀座コースなど、北アルプス北部から南部の穂高岳方面へと続くコースのほとんどは槍ヶ岳で収束する。日本第５位の標高を誇るこの山の開山者は、江戸時代後期の浄土宗の僧、播隆上人。数年の準備期間を経て上人は1828年（文政11）７月、安曇野の中田又重郎を案内人に初登頂を果たしたが、より多くの人が登れるよう、その後何度も登って鎖などの設置を続けた。播隆上人については『槍ヶ岳開山』（新田次郎著）に詳しい。大正から昭和にかけての著名な登山家である加藤文太郎、松濤明が遭難死した山でもある。,26.7,"長野,岐阜,中部,甲信越,東海,北アルプス"
常念岳,2857,中級,安曇野市の西端にそびえ、北アルプス（飛騨山脈）を構成する連山である常念山脈の主峰。東面の安曇野市や松本市からは日常的に目にする山で、市民にとってはランドマーク的な存在だ。高山蝶研究者としても知られ、旧豊科町（現安曇野市）の名誉町民第一号である山岳写真家・田淵行男が調査・研究のために通った山でもある。登山道は各方面から延びるが、メインコースである一ノ沢を登って山頂北部にある常念小屋に泊まるスケジュールにすれば、立山や燕岳、蝶ヶ岳、焼岳などとともに北アルプス最初の山としても好適な山だろう。なお、常念岳は一等三角点のある山として知られるものの、常念岳本峰に三角点はなく、東に１kmほど行った前常念岳（2662ｍ）に点名「常念岳」の三角点が立つ。,13.9,"長野,中部,甲信越,北アルプス"
笠ヶ岳,2898,中級,岐阜県高山市にあり、県境に位置しない山としては岐阜県最高峰。その名のとおりの姿は、『日本百名山』の著者・深田久弥に「どこから見ても笠の姿を崩さない」と言わしめている。1683年（天和３）に円空上人が開山し、140年後の1823年（文政６）、播隆上人が再興した。播隆上人はその５年後に槍ヶ岳を開山している。山頂をめざすコースは２本。その１本、新穂高温泉から笠新道を登り、抜戸岳、笠ヶ岳山荘を経て山頂に至る道がメインコースだが、稜線まで急登が続く。もう１本のクリヤ谷コースは山頂に直登できるものの、笠新道より技術的に難しくなる。両コースとも体力勝負だ。新穂高温泉から鏡平、弓折岳を経て大迂回するコースは体力的には少し楽だが、１日余分にかかってしまう。,19.4,"岐阜,中部,東海,北アルプス"
焼岳,2455,中級,上高地の入口、大正池の西側にそびえる日本百名山の一座。アルプスでは乗鞍岳、御嶽山、弥陀ヶ原などとともに数少ない活火山のひとつだ（南・中央アルプスに活火山はない）。大正時代の大爆発が大正池を形成したことはよく知られているが、その大正池も次第に土砂で埋まり、当時の面影はなくなりつつある。とはいえ、焼岳と大正池のツーショットはいまも上高地を代表する景観であることに間違いない。メインコースは中の湯温泉、上高地、中尾からの３コースで、いずれも前泊すれば日帰りができる。特に難所はないが、山頂周辺はいまも活発な火山活動が続き、最高峰の南峰と正賀池は立ち入り禁止だ。歩くことのできる北峰も有毒ガス発生の危険があるため、山頂は速やかに通り過ぎたい。,6.5,"長野,岐阜,中部,甲信越,東海,北アルプス"
美ヶ原,2034,初級,長野県松本市の南東部に位置する日本百名山の一山。なだらかなピークがいくつかあるだけのほぼ平坦な高原で、最高峰はホテルや電波塔の立つ王ヶ頭だ。高原全体がアルプスや八ヶ岳などの好展望台として知られるが、展望を楽しむのなら40座を超える日本百名山が望めるといわれる王ヶ頭や、高原西端にある王ヶ鼻がおすすめ。詩人・尾崎喜八の『美ヶ原溶岩台地』の詩が刻まれた美ヶ原のシンボル・美しの塔が立つメインコースはほぼ牧場内を歩く道で、レンゲツツジの群生地（例年６月下旬～７月上旬）は見どころのひとつだ。東側登山口には美ヶ原高原美術館や道の駅、西側登山口には自然保護センターなどが立ち、山歩きのエリアというよりは、「高原ハイクが楽しめる観光地」の雰囲気が強い。,2.5,"長野,中部,甲信越"
霧ヶ峰,1925,初級,諏訪湖の北東に位置する日本百名山・霧ヶ峰の最高峰。山頂からは八ヶ岳や南･北･中央アルプスなどのパノラマが広がる。観光道路のビーナスラインが高原の南側を通っているため、マイカーでのアプローチも容易だ。霧ヶ峰には八島ヶ原、車山、踊場の３つの大きな湿原があり、いずれも「霧ヶ峰湿原植物群落」として国の天然記念物に指定されている。この湿原を中心にした一帯は、初夏のレンゲツツジに始まり、夏のニッコウキスゲ、ワタスゲ、秋のヤナギランなどの花に彩られ、多くのハイカーたちで賑わう。とはいえ、車山を起点とした霧ヶ峰一周は予想外に時間がかかる。スタートが遅いときや人数が多い場合は、短縮コースを事前に把握しておこう。日没の早い秋は特に大切なことだ。,3.5,"長野,中部,甲信越"
蓼科山,2531,初級,"日本百名山の蓼科山（標高2,531m）は長野県の茅野市と北佐久郡立科町にまたがり、八ヶ岳連峰の最北端にあたる。典型的なコニーデ型火山で、端正な円錐形の姿から諏訪富士、あるいは女乃神山（めのかみやま）とも称される。登山道は複数あるが、北面の七合目登山口からが最短コースとなる（山頂まで約2時間）。山頂は大きな岩塊が折り重なって広がる噴火口跡で、中央に蓼科神社奥社が祀られている。展望もすばらしく、八ヶ岳連峰をはじめ浅間山や霧ヶ峰、美ヶ原、北アルプスなど360度の大パノラマが展開する。山頂や中腹には山小屋があり、周辺にも温泉やペンションが多いので、観光と合わせて計画を立てるのもよいだろう。",4.6,"長野,中部,甲信越,八ヶ岳"
赤岳（八ヶ岳）,2899,中級,高峰が連なる中部山岳地帯にあって、南・北・中央アルプスと人気を二分する八ヶ岳連峰の最高峰。赤茶けた岩肌を持つことから赤岳の名が付いた。八ヶ岳連峰は、岩場主体の南八ヶ岳と深い森に包まれた北八ヶ岳に分けられ、赤岳は南八ヶ岳に属する。森林限界から上部はすべて岩場歩きとなるため、滑落や落石には十分な注意が必要だ。コースは東西南北から延びているが、よく登られるのは西麓の美濃戸からの道。比較的歩きやすく、赤岳が初めての人はおすすめだ。南北の道は横岳や権現岳につながる縦走路で、レベルは一段上がる。アルプス同様、高山病にも注意したい。山腹にある通年営業の山小屋をベースに積雪期登山も盛んだが、まずは４月頃の春山で慣れてから挑もう。,10.8,"山梨,長野,中部,甲信越,東海,八ヶ岳"
木曽駒ヶ岳,2956,中級,長野県南部に連なる中央アルプス（木曽山脈）の最高峰。登山者の多くが利用するロープウェイ・千畳敷駅がメインの登山口となる。標高約2600ｍ、日本最高地点の駅前に広がる千畳敷は、日本でも有数のお花畑だ。ここから山頂へは、急登こそあるものの通過困難箇所はなく、天気が安定していれば初級者でもそう苦労せず山頂を踏めることだろう。コース沿いには中央アルプス固有種のコマウスユキソウ（ヒメウスユキソウ）が咲き、時間があれば中央アルプス唯一の氷河湖、濃ヶ池に立ち寄るのもいい。山頂周辺と宝剣岳北面には計５軒の山小屋もあって天気急変の際などは安心だが、一気に高度が上がるので高山病には注意が必要。水分をたっぷり摂ることとゆっくり歩くことが高山病を防ぐコツだ。なお、宝剣岳はクサリ場が連続する。岩場が苦手な人は立ち入らないように。,3.5,"長野,中部,甲信越,中央アルプス"
甲斐駒ヶ岳,2967,中級,3000ｍには少し欠けるが、日本アルプスを代表する山のひとつ。『日本百名山』の著者である深田久弥も、「もし日本の十名山を選べと言われたとしても、私はこの山（＝甲斐駒ヶ岳）を落とさないだろう」と記述している。山麓から間近に眺めることができない山が多い日本アルプスにあって、山梨県北部の北杜市付近から見上げるその姿は感動的だ。登山のメインコースは、長野・山梨両県側からバスが通う北沢峠を起点に仙水峠、駒津峰を経て山頂に至るコース。山の姿から想像するほどの通過困難箇所がなく、多くの登山者は日帰り、または途中１泊でこの道を歩く。北西側の黒戸尾根にも古からの登山道があるが、日本三大急登のひとつといわれる長大な尾根で、途中の山小屋に１泊する必要がある。,17.4,"山梨,長野,中部,甲信越,南アルプス"
仙丈ヶ岳,3033,中級,南アルプス最北の3000ｍ峰。長野県と山梨県の県境にある北沢峠を挟んで甲斐駒ヶ岳と対峙するが、男性的な甲斐駒ヶ岳とは対称的になだらかな姿を見せ、「南アルプスの女王」とも称される。その全容を望むには、長野県の伊那谷側からでないと難しい。南アルプスでは北岳とともに花の名山として知られ、山頂南部の大仙丈カール（圏谷）、小仙丈ヶ岳南西部の小仙丈カール、山頂北部の藪沢カール周辺は７月上旬～中旬にかけて、みごとなお花畑が広がる。ただし、７月中旬前後まで藪沢周辺は残雪が多いので、雪上歩行に慣れていない人はこの時期、北沢峠～小仙丈ヶ岳～仙丈ヶ岳の尾根コースを往復するといい。また、日程と体力に余裕があれば甲斐駒ヶ岳往復を組み込んでも楽しいだろう。,8.3,"山梨,長野,中部,甲信越,南アルプス"
